Millis,Front,Left,Right,EncL,EncR
415231,410,2014,3579,106907,105013
415287,363,1952,3550,106907,105004
415342,392,1933,3562,106906,105012
415397,438,2062,3519,106891,105063
415453,497,2182,3453,106883,105116
415508,486,2266,3329,106883,105165
415564,488,2368,3256,106905,105237
415619,537,2387,3218,106957,105306
415675,547,2396,3209,107039,105420
415730,563,2438,3148,107167,105582
415785,616,2450,3149,107345,105778
415841,711,2454,849,107547,105991
415896,809,2508,862,107773,106205
415952,1008,2487,725,107979,106398
416007,1163,2433,607,108163,106581
416062,1427,2461,706,108319,106744
416118,1646,2441,723,108423,106818
416173,1784,2376,682,108477,106846
416229,1822,2366,674,108479,106846
416284,1839,2418,663,108479,106846
416340,1809,2453,654,108479,106846
