time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
7790,1082,2192,685,-18,0,0,0,0
7810,1110,2191,691,-8,0,0,0,0
7830,1217,2192,725,-9,0,0,0,0
7850,1232,2201,725,-7,0,0,0,0
7870,1307,2192,725,-7,0,0,0,0
7890,1374,2198,673,-6,0,0,0,0
7910,1397,2205,673,-5,0,0,0,0
7930,1421,2221,673,-5,0,0,0,0
7950,1451,2204,676,-5,0,0,0,0
7991,1549,2204,694,-7,0,0,0,0
8011,1592,2204,710,-3,0,0,0,0
8031,1643,2204,722,-1,0,0,0,0
8051,1668,2204,722,0,0,0,0,0
8071,1681,2204,722,0,0,0,0,0
8091,1690,2206,729,0,0,0,0,0
8111,1693,2206,726,0,0,0,0,0
8131,1690,2206,703,0,0,0,0,0
8151,1695,2214,703,0,0,0,0,0
8192,1706,2214,725,0,0,0,0,0
8212,1710,2219,725,0,0,0,0,0
8232,1715,2219,722,0,0,0,0,0
8252,1715,2213,725,0,0,0,0,0
8272,1710,2204,727,0,0,0,0,0
8292,1715,2204,728,0,0,0,0,0
8312,1694,2203,727,0,0,0,0,0
8332,1694,2203,727,0,0,0,0,0
8352,1698,2203,707,0,0,0,0,0
8393,1698,2201,707,0,0,0,0,0
8413,1691,2201,707,0,0,0,0,0
8433,1691,2199,707,0,0,0,0,0
8453,1691,2199,709,0,0,0,0,0
8473,1690,2199,723,0,0,0,0,0
8493,1691,2204,718,0,0,0,0,0
8513,1690,2202,718,0,0,0,0,0
8533,1690,2204,723,0,0,0,0,0
8553,1688,2202,723,0,0,0,0,0
8594,1688,2202,723,0,0,0,0,0
8614,1688,2202,723,0,0,0,0,0
8634,1688,2178,724,0,0,0,0,0
8654,1689,2178,727,0,0,0,0,0
8674,1689,2178,727,0,0,0,0,0
8694,1689,2294,727,0,0,0,0,0
8714,1690,2295,728,0,0,0,0,0
8734,1691,2296,727,0,0,0,0,0
8754,1709,2991,725,0,0,0,0,0
8795,1709,3000,721,0,0,0,0,0
8815,1709,3334,707,0,0,0,0,0
8835,1695,3334,704,0,0,0,0,0
8855,1695,3334,704,0,0,0,0,0
8875,1695,3214,702,0,0,0,0,0
8895,1695,3201,701,0,0,0,0,0
8915,1692,3069,702,0,0,0,0,0
8935,1688,3065,701,0,0,0,0,0
8955,1688,3065,700,0,0,0,0,0
8996,1687,3069,700,0,0,0,0,0
9016,1687,3101,701,0,0,0,0,0
9036,1687,3101,701,0,0,0,0,0
9056,1691,3101,698,0,0,0,0,0
9076,1682,2377,698,0,0,0,0,0
9096,1689,2353,701,0,0,0,0,0
9116,1689,2037,701,0,0,0,0,0
9136,1689,2032,698,0,0,0,0,0
9156,1687,2013,699,0,0,0,0,0
9197,1689,2013,701,0,0,0,0,0
9217,1687,2013,701,0,0,0,0,0
9237,1686,1925,699,0,0,0,0,0
9257,1686,1924,701,0,0,0,0,0
9277,1689,1919,705,0,0,0,0,0
9297,1686,1662,705,0,0,0,0,0
9317,1689,1648,703,0,0,0,0,0
9337,1699,1648,705,0,0,0,0,0
9357,1715,1662,709,0,0,0,0,0
9398,1715,1671,724,0,0,0,0,0
9418,1715,1671,724,0,0,0,0,0
9438,1715,1671,724,0,0,0,0,0
9458,1710,1671,701,0,0,0,0,0
9478,1710,1823,701,0,0,0,0,0
9498,1715,1915,700,0,0,0,0,0
9518,1737,1916,701,0,0,0,0,0
9538,1770,2101,702,-1,0,0,0,0
9558,1788,2108,725,0,0,0,0,0
9599,1799,2108,725,-2,0,0,0,0
9619,1807,2101,725,0,0,0,0,0
9639,1869,2055,725,-1,0,0,0,0
9659,1878,2024,725,-1,0,0,0,0
9679,1900,2015,726,-1,0,0,0,0
9699,1906,1927,736,-1,0,0,0,0
9719,1906,1921,1351,-1,0,0,0,0
9739,1900,1784,1353,-1,0,0,0,0
9759,1879,1774,1353,-1,0,0,0,0
9800,1877,1774,1351,-1,0,0,0,0
9820,1874,1774,1105,0,0,0,0,0
9840,1789,2016,1105,-1,0,0,0,0
