Millis,Front,Left,Right,EncL,EncR,dEncL,dEncR,dMillis,vL,vR,vL_smooth,vR_smooth
9600,1123,2745,2826,2724,5129,27.0,43.0,59.0,457.6271186440678,728.8135593220339,544.8275862068965,789.0122735242549
9658,1199,2761,2836,2766,5173,42.0,44.0,58.0,724.1379310344827,758.6206896551723,639.7428404441847,850.0292226767972
9717,1263,2738,2829,2815,5222,49.0,49.0,59.0,830.5084745762713,830.5084745762713,771.9462302746932,938.1648158971362
9776,1327,2724,2857,2867,5292,52.0,70.0,59.0,881.3559322033899,1186.4406779661017,860.0818234950323,1012.7410870835769
9835,1426,2756,2865,2924,5362,57.0,70.0,59.0,966.1016949152543,1186.4406779661017,887.6680303915839,1061.0169491525426
9894,1553,2785,2859,2977,5427,53.0,65.0,59.0,898.3050847457628,1101.6949152542375,867.3290473407363,1054.2372881355932
9952,1660,2743,2844,3027,5485,50.0,58.0,58.0,862.0689655172413,1000.0,823.261250730567,955.9322033898306
10011,1807,2776,2825,3070,5532,43.0,47.0,59.0,728.8135593220339,796.6101694915254,745.2951490356517,854.2372881355932
10070,1933,2805,2821,3109,5573,39.0,41.0,59.0,661.0169491525425,694.9152542372882,663.9392168322619,738.9830508474577
10129,2036,2771,2780,3143,5613,34.0,40.0,59.0,576.271186440678,677.9661016949153,569.4915254237288,620.3389830508474
10188,2181,2773,2784,3172,5644,29.0,31.0,59.0,491.52542372881356,525.4237288135594,491.5254237288135,525.4237288135594
10247,2287,2772,2783,3195,5668,23.0,24.0,59.0,389.8305084745763,406.77966101694915,403.3898305084746,440.677966101695
10306,2355,2793,2802,3215,5687,20.0,19.0,59.0,338.98305084745766,322.0338983050848,325.4237288135593,335.5932203389831
10365,2456,2768,2792,3228,5703,13.0,16.0,59.0,220.33898305084747,271.1864406779661,227.11864406779665,230.5084745762712
10424,2507,2789,2817,3239,5712,11.0,9.0,59.0,186.4406779661017,152.54237288135593,149.15254237288136,149.15254237288136
10483,2525,2769,2827,3239,5712,0.0,0.0,59.0,0.0,0.0,81.35593220338983,84.7457627118644
10542,2535,2784,2799,3239,5712,0.0,0.0,59.0,0.0,0.0,37.28813559322034,30.508474576271187
10601,2523,2771,2803,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
10660,2524,2758,2823,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
10719,2533,2779,2809,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
10778,2523,2764,2830,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
10837,2519,2777,2801,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
10896,2525,2786,2808,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
10955,2525,2772,2803,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
11014,2527,2772,2803,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
11073,2525,2772,2805,3239,5712,0.0,0.0,59.0,0.0,0.0,0.0,0.0
11132,2526,2767,2801,3239,5712,0.0,0.0,59.0,0.0,0.0,20.338983050847457,0.0
11191,2523,2780,2813,3239,5712,0.0,0.0,59.0,0.0,0.0,81.35593220338983,-47.45762711864407
11250,2510,2780,2824,3245,5712,6.0,0.0,59.0,101.69491525423729,0.0,159.32203389830508,-81.35593220338983
11309,2531,2687,2835,3263,5698,18.0,-14.0,59.0,305.08474576271186,-237.28813559322035,249.3220338983051,-101.35593220338983
11368,2562,2675,2915,3286,5688,23.0,-10.0,59.0,389.8305084745763,-169.49152542372883,357.79661016949154,-131.864406779661
11428,2599,2604,2968,3313,5682,27.0,-6.0,60.0,450.0,-100.0,435.7627118644068,-182.71186440677965
11487,2615,2523,3019,3345,5673,32.0,-9.0,59.0,542.3728813559322,-152.54237288135593,473.0508474576271,-226.7796610169492
11546,2611,2320,3102,3374,5658,29.0,-15.0,59.0,491.52542372881356,-254.23728813559325,469.6610169491526,-352.2033898305085
11605,2520,2120,3325,3403,5631,29.0,-27.0,59.0,491.52542372881356,-457.6271186440678,449.6610169491526,-522.2033898305085
11664,2286,1807,3397,3425,5584,22.0,-47.0,59.0,372.8813559322034,-796.6101694915254,432.7118644067797,-657.7966101694915
11724,2035,2427,3497,3446,5527,21.0,-57.0,60.0,350.0,-950.0,422.5423728813559,-708.6440677966102
11783,1399,2361,3501,3473,5478,27.0,-49.0,59.0,457.6271186440678,-830.5084745762713,415.7627118644068,-698.4745762711865
11842,1698,2463,3505,3499,5448,26.0,-30.0,59.0,440.67796610169495,-508.4745762711865,429.3220338983051,-634.0677966101696
11901,1856,2543,3480,3526,5424,27.0,-24.0,59.0,457.6271186440678,-406.77966101694915,455.9887005649718,-584.0677966101696
11960,1961,2662,3441,3552,5396,26.0,-28.0,59.0,440.67796610169495,-474.5762711864407,452.5988700564973,-543.3898305084746
12020,2155,2648,3414,3581,5354,29.0,-42.0,60.0,483.33333333333337,-700.0,439.039548022599,-573.8983050847457
12079,2434,2679,3116,3607,5317,26.0,-37.0,59.0,440.67796610169495,-627.1186440677966,427.51412429378536,-592.542372881356
12138,2568,2689,2886,3629,5278,22.0,-39.0,59.0,372.8813559322034,-661.0169491525425,403.78531073446334,-602.7118644067797
12198,2786,2708,2185,3653,5248,24.0,-30.0,60.0,400.0,-500.0,344.40677966101697,-523.7288135593221
12257,3065,2785,1484,3672,5217,19.0,-31.0,59.0,322.0338983050848,-525.4237288135594,369.60451977401135,-571.6384180790961
12316,3117,2795,1237,3683,5199,11.0,-18.0,59.0,186.4406779661017,-305.08474576271186,400.1129943502825,-605.5367231638418
12376,3260,2809,1173,3717,5147,34.0,-52.0,60.0,566.6666666666667,-866.6666666666667,383.4463276836159,-625.5367231638418
12435,3315,2636,1038,3748,5098,31.0,-49.0,59.0,525.4237288135594,-830.5084745762713,366.49717514124296,-608.587570621469
12495,3170,2519,1053,3767,5062,19.0,-36.0,60.0,316.6666666666667,-600.0,397.0056497175142,-645.8757062146893
12554,3031,2167,1030,3781,5036,14.0,-26.0,59.0,237.28813559322035,-440.67796610169495,390.3389830508475,-515.8757062146892
12613,2888,2044,1003,3801,5007,20.0,-29.0,59.0,338.98305084745766,-491.52542372881356,414.0677966101695,-424.3502824858757
12673,2742,2483,1006,3833,4994,32.0,-13.0,60.0,533.3333333333334,-216.66666666666669,486.3276836158193,-406.045197740113
12732,2629,2530,990,3871,4972,38.0,-22.0,59.0,644.0677966101696,-372.8813559322034,535.5367231638418,-421.2429378531074
12791,2421,2578,968,3911,4942,40.0,-30.0,59.0,677.9661016949153,-508.4745762711865,511.80790960451986,-438.19209039548025
12851,2155,2749,963,3940,4911,29.0,-31.0,60.0,483.33333333333337,-516.6666666666667,455.1412429378532,-531.5254237288136
12910,1879,2814,914,3953,4877,13.0,-34.0,59.0,220.33898305084747,-576.271186440678,397.51412429378536,-619.6610169491526
12970,1712,2889,890,3968,4836,15.0,-41.0,60.0,250.0,-683.3333333333334,295.81920903954807,-623.0508474576271
13029,1396,2931,960,3989,4788,21.0,-48.0,59.0,355.93220338983053,-813.5593220338983,249.15254237288136,-636.3841807909605
13088,1213,2957,576,3999,4757,10.0,-31.0,59.0,169.49152542372883,-525.4237288135594,268.41807909604523,-657.7966101694916
13148,1107,2958,238,4014,4722,15.0,-35.0,60.0,250.0,-583.3333333333334,265.8757062146893,-632.9943502824859
13208,811,2953,797,4033,4681,19.0,-41.0,60.0,316.6666666666667,-683.3333333333334,244.68926553672318,-623.6158192090395
13267,449,2897,2037,4047,4648,14.0,-33.0,59.0,237.28813559322035,-559.3220338983051,210.79096045197738,-555.819209039548
13327,684,2864,2413,4062,4602,15.0,-46.0,60.0,250.0,-766.6666666666667,160.7909604519774,-475.81920903954807
13386,616,2801,2534,4062,4591,0.0,-11.0,59.0,0.0,-186.4406779661017,114.40677966101696,-379.8305084745763
13446,659,2772,2581,4062,4580,0.0,-11.0,60.0,0.0,-183.33333333333334,80.28248587570621,-267.96610169491527
13505,660,2756,2600,4067,4568,5.0,-12.0,59.0,84.74576271186442,-203.38983050847457,30.28248587570622,-134.97175141242937
13565,692,2759,2685,4071,4568,4.0,0.0,60.0,66.66666666666667,0.0,30.28248587570622,-101.01694915254237
13624,695,2739,2635,4071,4562,0.0,-6.0,59.0,0.0,-101.69491525423729,37.06214689265537,-64.35028248587571
13684,694,2761,2654,4071,4561,0.0,-1.0,60.0,0.0,-16.666666666666668,20.112994350282484,-23.672316384180792
13743,692,2760,2676,4073,4561,2.0,0.0,59.0,33.898305084745765,0.0,6.779661016949153,-23.672316384180792
13803,663,2762,2683,4073,4561,0.0,0.0,60.0,0.0,0.0,6.779661016949153,-3.3333333333333335
13862,656,2754,2679,4073,4561,0.0,0.0,59.0,0.0,0.0,64.40677966101694,0.0
13922,659,2754,2669,4073,4561,0.0,0.0,60.0,0.0,0.0,150.96045197740114,0.0
13981,664,2753,2699,4090,4561,17.0,0.0,59.0,288.135593220339,0.0,296.22360987213796,75.78947368421052
14041,644,2742,2727,4118,4561,28.0,0.0,60.0,466.6666666666667,0.0,417.535085281974,216.77308024158756
14136,562,2707,2803,4187,4597,69.0,36.0,95.0,726.3157894736842,378.9473684210526,468.3825429090927,294.73918193650286
14197,587,2703,2829,4224,4640,37.0,43.0,61.0,606.5573770491803,704.9180327868853,410.7554242650249,298.1874577985718
14256,564,2732,2817,4239,4663,15.0,23.0,59.0,254.23728813559325,389.8305084745763,317.4220909316915,298.1874577985718
14314,562,2720,2785,4239,4664,0.0,1.0,58.0,0.0,17.241379310344826,172.1589330369547,222.39798411436132
14373,586,2724,2795,4239,4664,0.0,0.0,59.0,0.0,0.0,50.84745762711865,84.8042080654588
14432,562,2717,2806,4239,4664,0.0,0.0,59.0,0.0,0.0,0.0,13.617767387492695
14491,585,2729,2781,4239,4665,0.0,1.0,59.0,0.0,16.949152542372882,0.0,10.169491525423728
14550,621,2741,2787,4239,4667,0.0,2.0,59.0,0.0,33.898305084745765,0.0,10.169491525423728
14609,613,2724,2788,4239,4667,0.0,0.0,59.0,0.0,0.0,6.779661016949153,10.169491525423728
14668,586,2714,2782,4239,4667,0.0,0.0,59.0,0.0,0.0,6.779661016949153,6.779661016949151
14727,586,2725,2783,4241,4667,2.0,0.0,59.0,33.898305084745765,0.0,6.779661016949153,0.0
14786,596,2723,2780,4241,4667,0.0,0.0,59.0,0.0,0.0,6.779661016949153,3.3898305084745766
14845,568,2738,2771,4241,4667,0.0,0.0,59.0,0.0,0.0,20.338983050847457,81.35593220338983
14904,595,2733,2791,4241,4668,0.0,1.0,59.0,0.0,16.949152542372882,166.10169491525423,220.3389830508475
14963,612,2728,2776,4245,4691,4.0,23.0,59.0,67.79661016949153,389.8305084745763,315.2542372881356,406.7796610169492
15022,608,2738,2743,4290,4732,45.0,41.0,59.0,762.7118644067797,694.9152542372882,528.8135593220338,640.677966101695
15081,608,2749,2784,4334,4787,44.0,55.0,59.0,745.7627118644068,932.2033898305085,762.7118644067797,864.406779661017
15140,585,2744,2773,4397,4856,63.0,69.0,59.0,1067.7966101694915,1169.491525423729,952.542372881356,972.8813559322036
15199,618,2764,2440,4466,4923,69.0,67.0,59.0,1169.491525423729,1135.5932203389832,979.6610169491527,1003.3898305084747
15258,639,2778,791,4526,4978,60.0,55.0,59.0,1016.949152542373,932.2033898305085,993.8418079096045,963.6158192090395
15317,685,2745,409,4579,5028,53.0,50.0,59.0,898.3050847457628,847.4576271186442,939.6045197740114,872.0903954802261
15377,634,2739,453,4628,5072,49.0,44.0,60.0,816.6666666666667,733.3333333333334,875.1977401129946,794.1242937853109
15436,687,2816,579,4675,5114,47.0,42.0,59.0,796.6101694915254,711.8644067796611,844.6892655367232,743.276836158192
15495,708,2795,648,4725,5158,50.0,44.0,59.0,847.4576271186442,745.7627118644068,831.129943502825,726.3276836158193
15554,735,2796,673,4776,5198,51.0,40.0,59.0,864.406779661017,677.9661016949153,834.4632768361582,702.9943502824859
15613,793,2785,671,4825,5243,49.0,45.0,59.0,830.5084745762713,762.7118644067797,824.2937853107345,686.0451977401129
15673,790,2789,678,4875,5280,50.0,37.0,60.0,833.3333333333334,616.6666666666667,803.9548022598871,648.7570621468926
15732,834,2747,656,4919,5317,44.0,37.0,59.0,745.7627118644068,627.1186440677966,800.5649717514125,621.638418079096
15791,831,2721,700,4963,5350,44.0,33.0,59.0,745.7627118644068,559.3220338983051,817.5141242937854,564.0112994350283
15850,909,2685,755,5013,5382,50.0,32.0,59.0,847.4576271186442,542.3728813559322,824.180790960452,524.0112994350283
15909,960,2637,964,5067,5410,54.0,28.0,59.0,915.2542372881356,474.5762711864407,837.7401129943504,462.9943502824859
15969,978,2531,1205,5119,5435,52.0,25.0,60.0,866.6666666666667,416.6666666666667,830.9604519774011,364.6892655367232
16028,1036,2491,1080,5167,5454,48.0,19.0,59.0,813.5593220338983,322.0338983050848,783.5028248587571,310.45197740112997
16087,1055,2456,894,5209,5458,42.0,4.0,59.0,711.8644067796611,67.79661016949153,722.4858757062146,262.9943502824859
16146,1081,2338,1041,5245,5474,36.0,16.0,59.0,610.1694915254237,271.1864406779661,685.819209039548,236.3276836158192
16205,1071,2286,1034,5281,5488,36.0,14.0,59.0,610.1694915254237,237.28813559322035,658.7005649717514,205.81920903954807
16265,1105,2197,1038,5322,5505,41.0,17.0,60.0,683.3333333333334,283.33333333333337,573.9548022598871,209.20903954802262
16324,1079,2119,1062,5362,5515,40.0,10.0,59.0,677.9661016949153,169.49152542372883,451.92090395480227,178.3050847457627
16383,1104,2012,1087,5379,5520,17.0,5.0,59.0,288.135593220339,84.74576271186442,329.88700564971754,137.62711864406782
16443,1109,1949,1051,5379,5527,0.0,7.0,60.0,0.0,116.66666666666667,193.22033898305085,134.29378531073448
16502,1078,1845,1059,5379,5529,0.0,2.0,59.0,0.0,33.898305084745765,57.6271186440678,144.4632768361582
16562,1054,1528,1112,5379,5545,0.0,16.0,60.0,0.0,266.6666666666667,0.0,171.58192090395482
16621,1001,1358,1086,5379,5558,0.0,13.0,59.0,0.0,220.33898305084747,0.0,204.91525423728817
16680,981,1835,1100,5379,5571,0.0,13.0,59.0,0.0,220.33898305084747,0.0,259.1525423728814
16740,916,1761,1100,5379,5588,0.0,17.0,60.0,0.0,283.33333333333337,0.0,287.17514124293785
16799,900,1730,1043,5379,5606,0.0,18.0,59.0,0.0,305.08474576271186,0.0,309.7740112994351
16858,883,1801,1100,5379,5630,0.0,24.0,59.0,0.0,406.77966101694915,0.0,384.3502824858757
16918,844,1848,1218,5379,5650,0.0,20.0,60.0,0.0,333.33333333333337,0.0,444.35028248587577
16977,823,1979,1429,5379,5685,0.0,35.0,59.0,0.0,593.2203389830509,0.0,488.41807909604523
17037,828,2049,1338,5379,5720,0.0,35.0,60.0,0.0,583.3333333333334,0.0,525.7062146892656
17096,789,2181,1321,5379,5751,0.0,31.0,59.0,0.0,525.4237288135594,0.0,599.0395480225989
17155,960,2223,1320,5379,5786,0.0,35.0,59.0,0.0,593.2203389830509,0.0,630.3954802259886
17215,912,2255,1286,5379,5828,0.0,42.0,60.0,0.0,700.0,0.0,706.949152542373
17275,603,2339,1069,5379,5873,0.0,45.0,60.0,0.0,750.0,3.3333333333333335,828.5310734463277
17334,539,2379,1012,5379,5930,0.0,57.0,59.0,0.0,966.1016949152543,3.3333333333333335,947.1751412429379
17394,494,2454,1073,5380,5998,1.0,68.0,60.0,16.666666666666668,1133.3333333333335,3.3333333333333335,1047.175141242938
17453,416,2501,1108,5380,6068,0.0,70.0,59.0,0.0,1186.4406779661017,3.3333333333333335,1120.90395480226
17513,268,2598,1086,5380,6140,0.0,72.0,60.0,0.0,1200.0,3.3333333333333335,1121.0169491525426
17572,243,2614,1184,5380,6206,0.0,66.0,59.0,0.0,1118.6440677966102,0.0,1174.3502824858758
